Language,lat_str,lon_str,genus,family,countrycodes,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
Ormuri,32.5,69.75,Iranian,Indo-European,PK,Threatened ,3000,South Asia;Near East,32.5,69.75
Osage,37.0,-94.0,Core Siouan,Siouan,US,Awakening ,,North America,36.6683,-96.3316
Otoro,11.166666666700001,30.5,Heiban,Kordofanian,SD,Endangered ,10000,Africa,11.1666666667,30.5
Pa'a,11.0,9.25,West Chadic,Afro-Asiatic,NG,Threatened ,8000,Africa,,
Padoe,-2.33333333333,121.333333333,Celebic,Austronesian,ID,Threatened ,6000,Southeast Asia,-2.33333333333,121.333333333
Paumarí,-6.0,-64.0,Arauan,Arauan,BR,Endangered ,200,South America,-6.0,-64.0
Poqomam,14.666666666700001,-90.5,Mayan,Mayan,GT,Threatened ,9548,"Mexico, Central America, Caribbean",14.73, -89.74
Pech,15.0,-85.5,Paya,Chibchan,HN,Endangered ,600,"Mexico, Central America, Caribbean",15.0,-85.5
Pilagá,-25.0,-60.0,South Guaicuruan,Guaicuruan,AR,Threatened ,6000,South America,-25.4035, -58.6669
Piaroa,5.0,-67.0,Piaroa,Sáliban,VR,Vulnerable ,13773,South America,5.0,-67.0
Pipil,13.833333333299999,-89.5833333333,Aztecan,Uto-Aztecan,SV,Critically Endangered ,97,"Mexico, Central America, Caribbean",13.721709,-89.721314
Piro,-11.0,-73.5,Purus,Arawakan,PE,Threatened ,3490,South America,-11.0,-73.5
Pitjantjatjara,-26.0,130.0,Western Pama-Nyungan,Pama-Nyungan,AU,Vulnerable ,3000,Australia,-25.97129594, 130.0189562
Paakantyi,-32.5,142.5,Central Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,2,Australia,-31.12813021, 144.2235677
Playero,7.0,-71.0,Guahiban,Guahiban,CO,Endangered ,400,South America,7.0,-71.0
Paulohi,-3.25,128.75,Central Malayo-Polynesian,Austronesian,ID,Severely Endangered ,50,Southeast Asia,-3.25,128.75
Palikur,3.0,-51.0,Eastern Arawakan,Arawakan,BR,Threatened ,2000,South America,3.0,-51.0
Panare,6.5,-66.0,Cariban,Cariban,VR,Vulnerable ,3100,South America,6.5,-66.0
Panyjima,-22.8333333333,118.416666667,Western Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,50,Australia,-23.01539682, 117.6751312
Potawatomi,44.5,-85.0,Algonquian,Algic,US,Critically Endangered ,10,North America,39.3251,-95.8495
Piapoco,4.0,-69.5,Inland Northern Arawakan,Arawakan,CO,Threatened ,6041,South America,4.0,-69.5
Prasuni,35.5,71.0,Nuristani,Indo-European,AF,Vulnerable ,8000,Near East,35.5,71.0
Pirahã,-7.0,-62.0,Mura,Mura,BR,Vulnerable ,389,South America,-7.0,-62.0
Provençal,44.0,6.0,Romance,Indo-European,FR,Threatened ,200000,Europe,44, 6
Port Sandwich,-16.5,167.75,Oceanic,Austronesian,VU,Threatened ,1200,Pacific,-16.5,167.75
Pattani,32.75,76.75,Bodic,Sino-Tibetan,IN,Vulnerable ,11000,South Asia,32.75,76.75
Patwin,39.0,-122.333333333,Wintuan,Penutian,US,Critically Endangered ,1,North America,38.7608,-122.0354
Puinave,4.0,-68.0,Puinave,Puinave,VR CO,Threatened ,7154,South America,4.0,-68.0
Pawnee,41.0,-98.6666666667,Caddoan,Caddoan,US,Critically Endangered ,10,North America,36.3372,-96.8032
Quechan,32.8333333333,-114.333333333,Yuman,Hokan,US,Critically Endangered ,150,North America,32.7279,-114.7255
Quileute,47.9166666667,-124.25,Chimakuan,Chimakuan,US,Dormant ,0,North America,47.9166666667,-124.25
Rama,11.75,-83.75,Rama,Chibchan,NI,Critically Endangered ,29,"Mexico, Central America, Caribbean",11.75,-83.75
Rao,-4.75,144.5,Annaberg,Lower Sepik-Ramu,PG,Threatened ,4000,Pacific,-4.75, 144.5
Remo,18.0,82.0,Munda,Austro-Asiatic,IN,Threatened ,9000,South Asia,18.0,82.0
Resígaro,-2.41666666667,-71.5,Inland Northern Arawakan,Arawakan,PE CO,Critically Endangered ,1,South America,-2.41666666667,-71.5
Raji,28.0,82.75,Raji-Raute,Sino-Tibetan,NP IN,Endangered ,472inIndia,South Asia,28.0,82.75
Romansch,46.6666666667,9.166666666669999,Romance,Indo-European,CH,Vulnerable ,60000,Europe,46.5777,9.6954
Shughni,38.1666666667,71.5,Iranian,Indo-European,TJ AF,Vulnerable ,80000,Near East,,
Rutul,41.5,47.4166666667,Lezgic,Nakh-Daghestanian,RU AZ,Vulnerable ,19000,Caucasus;Europe;East Asia,41.5,47.4166666667
Saek,17.4166666667,104.75,Kam-Tai,Tai-Kadai,LA TH,Threatened ,10000,Southeast Asia,17.4166666667,104.75
Savi,35.0,71.5,Indic,Indo-European,AF,,Unknown,South Asia;Near East,35.0,71.5
Sayula Popoluca,17.8333333333,-95.0,Mixe-Zoque,Mixe-Zoque,MX,Threatened ,3025,"Mexico, Central America, Caribbean",17.8333333333,-95.0
Sandawe,-5.0,35.0,Sandawe,Sandawe,TZ,Vulnerable ,60000,Africa,-5.342583, 35.562744
Seediq,24.1666666667,121.416666667,Atayalic,Austronesian,TW,Critically Endangered ,Unknown,East Asia,23.77, 121.35
Seri,29.0,-112.0,Seri,Hokan,MX,Threatened ,716,"Mexico, Central America, Caribbean",29.0,-112.0
Shabo,7.583333333330001,35.4166666667,Shabo,Shabo,ET,Severely Endangered ,600,Africa,7.58333333333, 35.4166666667
Sherdukpen,27.0,92.5,Western Arunachal,Sino-Tibetan,IN,Threatened ,2000,South Asia,27.0,92.5
Sherpa,27.75,86.8333333333,Bodic,Sino-Tibetan,NP,Threatened ,1500070000,South Asia;East Asia,27.75,86.8333333333
Shoshone,41.0,-114.0,Numic,Uto-Aztecan,US,Endangered ,1000,North America,43.0438,-112.4629
Shor,53.0,88.0,Turkic,Altaic,RU,Severely Endangered ,10000,Caucasus;Europe;East Asia,53.0,88.0
Shatt,10.833333333299999,30.0,Daju,Eastern Sudanic,SD,Vulnerable ,30000,Africa,10.8333333333, 30.0
Shawnee,40.0,-83.0,Algonquian,Algic,US,Severely Endangered ,100,North America,35.359,-96.9298
Sila,12.333333333299999,21.75,Daju,Eastern Sudanic,TD,Threatened ,2118,Southeast Asia,22.3094,102.041
Siuslaw,44.0,-124.0,Siuslawan,Oregon Coast,US,Dormant ,Ø,North America,42.653122, -124.358941
Skou,-2.66666666667,140.91666666700002,Western Skou,Skou,ID,Threatened ,700,Southeast Asia,-2.64, 140.90
Salar,35.0,103.0,Turkic,Altaic,CN,Threatened ,95000,East Asia,36.2752, 102.4584
Semai,4.33333333333,101.666666667,Aslian,Austro-Asiatic,MY,Vulnerable ,29000,Southeast Asia,4.33333333333,101.666666667
Semelai,3.0,103.0,Aslian,Austro-Asiatic,MY,Vulnerable ,4103,Southeast Asia,3.099, 102.622
Seneca,42.5,-77.5,Northern Iroquoian,Iroquoian,US,Critically Endangered ,50,North America,42.3291,-78.868
Sobei,-1.9166666666699999,138.75,Oceanic,Austronesian,ID,Endangered ,1850,Southeast Asia,-1.91666666667,138.75
Solon,48.0,120.0,Tungusic,Altaic,CN,Threatened ,15000,East Asia,48.166,119.4873
Sora,20.0,84.3333333333,Munda,Austro-Asiatic,IN,At risk ,150000,South Asia,20.0,84.3333333333
Siriano,0.75,-70.1666666667,Tucanoan,Tucanoan,BR CO,Endangered ,820,South America,0.318919, -69.247622
Sirionó,-15.583333333299999,-64.0,Tupi-Guaraní,Tupian,BO,Critically Endangered ,100,South America,-15.510264,-63.997361
Serrano,34.5,-117.0,California Uto-Aztecan,Uto-Aztecan,US,Awakening ,,North America,34.1212,-117.2221
Siraya,23.0,120.25,East Formosan,Austronesian,TW,Awakening ,,East Asia,23.1, 120.2
Stoney,53.75,-116.5,Core Siouan,Siouan,CA,Endangered ,1000,North America,53.75,-116.5
Subiya,-17.75,24.9166666667,Bantoid,Niger-Congo,,Vulnerable ,24500,Africa,-17.75,24. 9166666667
Suena,-7.75,147.55,Binanderean,Trans-New Guinea,PG,Threatened ,3000,Pacific,-7.75,147.55
Sulka,-5.08333333333,151.91666666700002,Sulka,Sulka,PG,Threatened ,2500,Pacific,,
Svan,43.0,42.5,Kartvelian,Kartvelian,GE,Vulnerable ,30000,Caucasus,43.0,42.5
Savosavo,-9.13333333333,159.8,Savosavo,Solomons East Papuan,SB,Threatened ,2500,Pacific,-9.1316, 159.8124
Taba,0.0,127.5,South Halmahera - West New Guinea,Austronesian,ID,Endangered ,30000,Southeast Asia,,
Tacana,-13.5,-68.0,Tacanan,Tacanan,BO,Threatened ,1153,South America,-13.5,-68.0
Taiap,-4.08333333333,144.5,Gapun,Gapun,PG,Severely Endangered ,75,Pacific,-4.08333333333, 144.5
Tariana,1.0,-69.1666666667,Inland Northern Arawakan,Arawakan,BR,Critically Endangered ,90,South America,1.0,-69.1666666667
Tobati,-2.58333333333,140.66666666700002,Oceanic,Austronesian,ID,Severely Endangered ,100,Southeast Asia,-2.58333333333,140.666666667
Toda,11.416666666700001,76.75,Southern Dravidian,Dravidian,IN,Endangered ,1000,South Asia,11.4166666667,76.75
Tehuelche,-48.0,-68.0,Chon Proper,Chon,AR,Critically Endangered ,2,South America,-48.0, -68.0
Tennet,4.41666666667,32.5,Surmic,Eastern Sudanic,SS,Threatened ,4000,Africa,4.41666666667, 32.5
Teop,-5.666666666669999,155.0,Oceanic,Austronesian,PG,Threatened ,5000,Pacific,-5.66666666667,155.0
Thakali,29.0,83.75,Bodic,Sino-Tibetan,NP,Threatened ,7113,South Asia,29.0,83.75
Thangmi,27.75,86.0,Mahakiranti,Sino-Tibetan,NP,Threatened ,18991,South Asia,27.52, 86.07
Thulung,27.4166666667,86.5,Mahakiranti,Sino-Tibetan,NP,Severely Endangered ,1000,South Asia,27.4166666667,86.5
Thao,23.883333333299998,120.916666667,Western Plains Austronesian,Austronesian,TW,Critically Endangered ,4,East Asia,,
Kuuk Thaayorre,-14.583333333299999,141.83333333299998,Northern Pama-Nyungan,Pama-Nyungan,AU,Endangered ,150,Australia,-14.818,141.847
Tima,11.666666666700001,29.25,Katla-Tima,Kordofanian,SD,Threatened ,5000,Africa,11.6666666667, 29.25
Tifal,-5.0,141.33333333299998,Ok,Trans-New Guinea,PG,Threatened ,2800,Pacific,-5.04, 141.29
Tiwi,-11.5,131.0,Tiwian,Tiwian,AU,Threatened ,1500,Australia,-11.6788294, 130.8353696
Tokelauan,-9.0,-172.0,Oceanic,Austronesian,TK,Threatened ,Fewerthan8000,Pacific,-9.383, -171.224
Telefol,-5.0,141.75,Ok,Trans-New Guinea,PG,Threatened ,4500,Pacific,-5.07, 141.73
Tlingit,59.0,-135.0,Tlingit,Na-Dene,US,Critically Endangered ,200,North America,59.6200000, -132.8700000
Taulil,-4.41666666667,152.08333333299998,Taulil,Baining-Taulil,PG,Endangered ,800,Pacific,-4.41666666667,152.083333333
Tlapanec,17.0833333333,-99.0,Subtiaba-Tlapanec,Oto-Manguean,MX,At risk ,120072,"Mexico, Central America, Caribbean",16.7325, -98.6034
Temein,11.916666666700001,29.4166666667,Temein,Eastern Sudanic,SD,Vulnerable ,13000,Africa,11.9166666667, 29.4166666667
Temiar,5.0,101.5,Aslian,Austro-Asiatic,MY,Vulnerable ,,Southeast Asia,5.0,101.5
Tunebo,6.75,-72.25,Tunebo,Chibchan,CO,Threatened ,7231,South America,6.4463, -72.0483
Tanacross,63.5,-143.5,Athapaskan,Na-Dene,US,Critically Endangered ,50,North America,63.658611,-144.065833
Tindi,42.3666666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Threatened ,4000,Caucasus;Europe;East Asia,42.3666666667,46.25
Tinani,32.3333333333,77.1666666667,Bodic,Sino-Tibetan,IN,Threatened ,,South Asia;East Asia,32.3333333333,77.1666666667
Toba,-26.5,-59.0,South Guaicuruan,Guaicuruan,AR,Vulnerable ,31593,South America,-26.5, -59.0
Tofa,53.75,98.0,Turkic,Altaic,RU,Critically Endangered ,40,Caucasus;Europe;East Asia,53.75,98.0
Tojolabal,16.3333333333,-91.5,Mayan,Mayan,MX,Threatened ,,"Mexico, Central America, Caribbean",16.3333333333,-91.5
Tol,14.666666666700001,-87.0,Tol,Tol,HN,Endangered ,250,"Mexico, Central America, Caribbean",14.6666666667,-87.0
Teribe,9.333333333330001,-82.6666666667,Talamanca,Chibchan,PA CR,Threatened ,3000,"Mexico, Central America, Caribbean",9.33333333333,-82.6666666667
Ternate,0.833333333333,127.25,North Halmaheran,West Papuan,ID,Threatened ,42000,Southeast Asia,0.783333, 127.366667
Trumai,-11.916666666700001,-53.5833333333,Trumai,Trumai,BR,Critically Endangered ,50,South America,-11.9166666667,-53.5833333333
Torwali,34.25,72.0,Indic,Indo-European,PK,Vulnerable ,80000,South Asia,34.25,72.0
Tsakhur,41.6666666667,47.1666666667,Lezgic,Nakh-Daghestanian,RU AZ,Vulnerable ,19000,Caucasus;Europe;East Asia,41.6666666667,47.1666666667
Tsafiki,-1.0,-79.3333333333,Barbacoan,Barbacoan,EC,Threatened ,1872,South America,-1.0,-79.3333333333
Tsou,23.5,120.75,Tsou,Austronesian,TW,Endangered ,1000,East Asia,23.5,120.75
Taushiro,-3.25,-75.5,Taushiro,Taushiro,PE,Critically Endangered ,1,South America,-3.25,-75.5
Tsat,18.25,109.5,Malayo-Sumbawan,Austronesian,CN,Threatened ,4000,East Asia,18.25,109.5
Tsez,42.25,45.75,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Threatened ,7000,Caucasus;Europe;East Asia,42.25,45.75
Tatuyo,0.416666666667,-70.5,Tucanoan,Tucanoan,CO,Endangered ,331,South America,0.416666666667,-70.5
Tuamotuan,-17.0,-144.0,Oceanic,Austronesian,PF,Vulnerable ,14400,Pacific,-17.0,-144.0
Tumleo,-3.08333333333,142.41666666700002,Oceanic,Austronesian,PG,Endangered ,610,Pacific,-3.12, 142.40
Tunica,32.6666666667,-91.0,Tunica,Tunica,US,Awakening ,,North America,31.126700, -92.066100
Tuscarora,36.0,-77.5,Northern Iroquoian,Iroquoian,US,Critically Endangered ,3,North America,43.0877,-79.0627
Tuvaluan,-8.5,179.16666666700002,Oceanic,Austronesian,TV,Vulnerable ,9000,Pacific,-8.5,179.166666667
Tzeltal,16.8333333333,-92.25,Mayan,Mayan,MX,At risk ,261084,"Mexico, Central America, Caribbean",16.64, -92.28
Tzotzil,16.5,-92.6666666667,Mayan,Mayan,MX,At risk ,229203,"Mexico, Central America, Caribbean",16.64, -92.74
Udi,41.0,48.0,Lezgic,Nakh-Daghestanian,AZ,Endangered ,5500,Caucasus;Europe;East Asia,41.0,48.0
Udmurt,57.5,52.5,Permic,Uralic,RU,Threatened ,324338,Caucasus;Europe;East Asia,57.5,52.5
Uradhi,-11.916666666700001,142.41666666700002,Northern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,2,Australia,-12.41788993,141.8611366
Upper Kuskokwim,63.0,-157.0,Athapaskan,Na-Dene,US,Critically Endangered ,25,North America,63.0091,-154.3889
Ulithian,9.916666666669999,139.58333333299998,Oceanic,Austronesian,FM,Threatened ,3075,Pacific,9.91666666667,139.583333333
Umpila,-13.5,143.5,Northern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,Afew,Australia,-13.48164763,143.5323774
Unami,40.0,-75.1666666667,Algonquian,Algic,US,Dormant ,0,North America,40.0,-75.1666666667
Urim,-3.58333333333,142.66666666700002,Urim,Torricelli,PG,Threatened ,2538,Pacific,-3.60, 142.79
Urak Lawoi',8.0,98.3333333333,Malayo-Sumbawan,Austronesian,TH,Endangered ,,Southeast Asia,7.880, 98.392
Urum,47.1166666667,37.55,Turkic,Altaic,GE UA,Endangered ,,Caucasus;Europe;East Asia,47.1166666667,37.55
Urarina,-4.5,-75.5,Urarina,Urarina,PE,Threatened ,2000,South America,-4.5,-75.5
Urat,-3.66666666667,142.83333333299998,Wapei-Palei,Torricelli,PG,Threatened ,6280,Pacific,-3.60, 142.79
Uru,-16.75,-69.0,Uru-Chipaya,Uru-Chipaya,BO,Dormant ,0,South America,-16.75,-69.0
Ute,39.0,-109.0,Numic,Uto-Aztecan,US,Endangered ,3500,North America,37.6818,-113.088
Vafsi,34.6666666667,49.9166666667,Iranian,Indo-European,IR,Vulnerable ,20000,Near East,34.6666666667,49.9166666667
Veps,60.0,35.0,Finnic,Uralic,RU,Severely Endangered ,3613,Caucasus;Europe;East Asia,60.0,35.0
Vinmavis,-16.1666666667,167.41666666700002,Oceanic,Austronesian,VU,Endangered ,500,Pacific,,
Votic,59.5,30.0,Finnic,Uralic,RU,Critically Endangered ,10,Caucasus;Europe;East Asia,59.5,30.0
Wagiman,-14.0,131.25,Wagiman,Wagiman,AU,Severely Endangered ,50,Australia,-14.18804631,131.6147964
Wakhi,36.5,72.0,Iranian,Indo-European,AF PK TJ,Vulnerable ,37570,South Asia;Near East;East Asia,37.1603,74.9047
Walman,-3.21666666667,142.5,Wapei-Palei,Torricelli,PG,Severely Endangered ,1740,Pacific,-3.25, 142.50
Wambaya,-18.6666666667,135.75,Wambayan,Mirndi,AU,Critically Endangered ,3,Australia,-16.31666942,135.2617924
Wangkumara,-27.3333333333,143.0,Central Pama-Nyungan,Pama-Nyungan,AU,Awakening ,,Australia,-27.10148693,143.1961902
Waorani,-1.0,-76.5,Waorani,Waorani,EC,Threatened ,1616,South America,-1.0,-76.5
Wappo,38.5,-122.5,Wappo,Wappo-Yukian,US,Awakening ,,North America,38.5,-122.5
Wari',-11.333333333299999,-65.0,Chapacura-Wanham,Chapacura-Wanham,BR,Threatened ,2381,South America,-11.3333333333,-65.0
Washo,39.25,-120.0,Washo,Washo,US,Severely Endangered ,20,North America,38.9226,-119.7256
Waunana,4.0,-77.0,Choco,Choco,CO PA,Threatened ,13000,"South America;Mexico, Central America, Caribbean",4.0,-77.0
Wichí,-22.5,-62.5833333333,Matacoan,Matacoan,AR BO,Vulnerable ,30560,South America,-22.5, -62.5833333333
Welsh,52.0,-3.0,Celtic,Indo-European,GB,Vulnerable ,562016inWales,Europe;South America,53.14,-4.27
Waigali,35.0,71.25,Nuristani,Indo-European,AF,Threatened ,1500,Near East,35.0,71.25
Wichita,33.3333333333,-97.3333333333,Caddoan,Caddoan,US,Dormant ,0,North America,35.0647,-98.2788
Wintu,41.0,-122.5,Wintuan,Penutian,US,Dormant ,0,North America,39.8637,-122.0822
Wirangu,-32.0,134.0,Central Pama-Nyungan,Pama-Nyungan,AU,Awakening ,,Australia,-31.57687017,132.8519652
Wiyot,40.8333333333,-124.166666667,Wiyot,Algic,US,Awakening ,,North America,40.8333333333,-124.166666667
Wambule,29.25,85.9166666667,Mahakiranti,Sino-Tibetan,NP,Vulnerable ,15000,South Asia,29.25,85.9166666667
Winnebago,43.5,-88.5,Core Siouan,Siouan,US,Endangered ,250,North America,42.2475,-96.4722
Wantoat,-6.166666666669999,146.5,Finisterre-Huon,Trans-New Guinea,PG,Threatened ,8200,Pacific,-6.16666666667,146.5
Wogamusin,-4.25,142.33333333299998,Upper Sepik,Sepik,PG,Endangered ,368,Pacific,-4.23, 142.40
Woleaian,7.333333333330001,143.83333333299998,Oceanic,Austronesian,FM,Threatened ,1630,Pacific,7.33333333333,143.833333333
Warao,9.333333333330001,-61.6666666667,Warao,Warao,VR,Vulnerable ,32400,South America,9.33333333333,-61.6666666667
Warrnambool,-38.25,142.5,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Dormant ,0,Australia,-38.345,142.4608
Wardaman,-15.5,131.0,Yangmanic,Yangmanic,AU,Severely Endangered ,30,Australia,-14.465267,132.246841
Warrgamay,-18.5833333333,146.08333333299998,Northern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,3,Australia,-18.4,145.877
Warlpiri,-20.0,132.33333333299998,Western Pama-Nyungan,Pama-Nyungan,AU,Threatened ,3000,Australia,,
Warembori,-1.6666666666699999,137.58333333299998,South Halmahera - West New Guinea,Austronesian,ID,Endangered ,600,Southeast Asia,-1.535102, 137.906028
Waris,-3.16666666667,141.0,Border,Border,PG ID,Threatened ,4400,Southeast Asia;Pacific,-3.14, 140.93
Warumungu,-19.5,134.5,Western Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,50,Australia,-19.08616819,134.5462824
Warrwa,-17.5,123.5,Nyulnyulan,Nyulnyulan,AU,Critically Endangered ,2,Australia,-17.2069978,124.2149579
Wathawurrung,-38.0,144.0,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Awakening ,,Australia,-37.68777565,144.1013148
Watam,-3.91666666667,144.5,Lower Ramu,Lower Sepik-Ramu,PG,Threatened ,1086,Pacific,-4.03, 144.58
Waurá,-13.0,-53.0,Central Arawakan,Arawakan,BR,Endangered ,410,South America,-13.0,-53.0
Woiwurrung,-37.5,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Awakening ,,Australia,-37.64264501,145.5879962
Wayana,3.25,-54.1666666667,Cariban,Cariban,SR BR GF,Threatened ,1738,South America,3.25,-54.1666666667
Kombio,-3.5,142.75,Kombio-Arapesh,Torricelli,PG,Endangered ,2970,Pacific,-3.48, 142.69
Kanashi,32.0833333333,77.25,Bodic,Sino-Tibetan,IN,Threatened ,1400,South Asia,32.0833333333,77.25
Xokleng,-24.5,-50.0,Ge-Kaingang,Macro-Ge,BR,Endangered ,790,South America,-24.5,-50.0
Yagua,-3.5,-72.0,Peba-Yaguan,Peba-Yaguan,PE,Threatened ,4297,South America,-3.5,-72.0
Yaka,-7.0,17.5,Bantoid,Niger-Congo,AO CD,Vulnerable ,30000,Africa,2.66666666667,16.25
Yaqui,27.5,-110.25,Cahita,Uto-Aztecan,MX,Vulnerable ,21000,"North America;Mexico, Central America, Caribbean",27.868742,-110.279364
Yamphu,27.5833333333,87.3333333333,Mahakiranti,Sino-Tibetan,NP,Threatened ,1722,South Asia,27.5833333333,87.3333333333
Yucuna,-0.75,-71.0,Inland Northern Arawakan,Arawakan,CO,Endangered ,550,South America,-0.75,-71.0
Yucatec,20.0,-89.0,Mayan,Mayan,MX,At risk ,706000,"Mexico, Central America, Caribbean",18.78, -88.96
Yessan-Mayo,-4.16666666667,142.58333333299998,Tama Sepik,Sepik,PG,Endangered ,900,Pacific,-4.16, 142.57
Yeyi,-20.0,23.5,Bantoid,Niger-Congo,BW NA,Severely Endangered ,20000,Africa,-20.0, 23.5
Yaghnobi,39.0,69.0,Iranian,Indo-European,TJ,Vulnerable ,13500,Near East,39.0,69.0
Yidiny,-17.0,145.75,Northern Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,12,Australia,-17.11594422, 145.7736814
Yil,-3.53333333333,142.15,Wapei-Palei,Torricelli,PG,Threatened ,2134,Pacific,-3.5, 142.2
Yimas,-4.66666666667,143.55,Lower Sepik,Lower Sepik-Ramu,PG,Endangered ,250,Pacific,-4.66666666667, 143.55
Yindjibarndi,-21.75,117.916666667,Western Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,600,Australia,-22.10432211, 118.0814646
Yuki,39.6666666667,-123.5,Yukian,Wappo-Yukian,US,Endangered ,140,South America,-16.2463,-65.0061
Yukpa,10.1666666667,-72.75,Cariban,Cariban,VR CO,Vulnerable ,11173,South America,10.1666666667,-72.75
Yakut,62.0,130.0,Turkic,Altaic,RU,Vulnerable ,456288,Caucasus;Europe;East Asia,62.3496,
Yulparija,-21.0,124.0,Western Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,100,Australia,-20.81469107,124.5495702
Yalarnnga,-22.0,140.0,Northern Pama-Nyungan,Pama-Nyungan,AU,Dormant ,0,Australia,-21.97436706, 139.9133497
Yingkarta,-25.1666666667,114.833333333,Western Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,2,Australia,,
Yanyuwa,-16.4166666667,137.16666666700002,Western Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,52,Australia,-16.49279406,136.7840759
Yaruro,7.0,-68.0,Yaruro,Yaruro,VR,Threatened ,7400,South America,7.0,-68.0
Yuchi,35.75,-86.75,Yuchi,Yuchi,US,Critically Endangered ,7,North America,36.0009,-96.0988
Yulu,8.5,25.25,Bongo-Bagirmi,Central Sudanic,SS,Threatened ,3000,Africa,,
Yurok,41.3333333333,-124.0,Yurok,Algic,US,Awakening ,,North America,41.0607,-124.1413
Yuwaalaraay,-29.5,148.0,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,1,Australia,-29.84291122,149.806501
Yawuru,-18.0,122.5,Nyulnyulan,Nyulnyulan,AU,Critically Endangered ,5,Australia,-17.91457525, 122.3569459
Yaygir,-29.6666666667,153.0,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Dormant ,0,Australia,-29.91558791, 153.2691386
Yorta Yorta,-36.0,146.0,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Awakening ,,Australia,-36.0469555, 144.8188789
Yazva,65.0,55.0,Permic,Uralic,RU,Critically Endangered ,200,Caucasus;Europe;East Asia,60.72, 55.76
Zenaga,17.3333333333,-16.0,Berber,Afro-Asiatic,MR,Endangered ,200,Africa,17.3333333333, -16.0
Zuni,35.0833333333,-108.833333333,Zuni,Zuni,US,Threatened ,9000,North America,35.082,-108.76
