Code Value,Language,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
bhw,Biak,Severely Endangered ,70000,Southeast Asia,-1.036, 136.01
xbp,Bibbulman,Dormant ,0,Australia,-34.90830698,117.173752
bym,Bidjara,Severely Endangered ,20,Australia,-25.30623867,147.1137388
bnk,Bierebo,Threatened ,900,Pacific,-16.6539,168.1539
brj,Bieria,Severely Endangered ,25,Pacific,-16.8045,168.2446
biu,Biete,Vulnerable ,19000,South Asia,25.6514,93.2409
bhc,Biga,Endangered ,300,Southeast Asia,-2.00,130.27
xbe,Bigambal,Dormant ,NoknownL1speakers,Australia,-28.166667, 150.166667
ibh,Bih,Critically Endangered ,,Southeast Asia,12.840,108.045
byb,Bikya,Critically Endangered ,1,Africa,6.8309,10.0277
bql,Bilakura,Severely Endangered ,30,Pacific,-4.9404,145.5303
byn,Bilen,Vulnerable ,,Africa,15.75,38.5
nbj-bil,Bilinarra,Severely Endangered ,10,Australia,-17.26732129,130.8928481
tls,Biliru,Severely Endangered ,50,Pacific,-15.4655,167.1027
blb,Bilua,Threatened ,8740,Pacific,-7.748003,156.660565
bhp,Bima,At risk ,5000001989,Southeast Asia,,
bhl,Bimin,Vulnerable ,2000,Pacific,-5.39, 142.04
byj,Bina,Threatened ,7000,Africa,,
wmb-bin,Binbinka,Critically Endangered ,2,Australia,-16.552078,134.786606
gup,Bininj Gun-wok,Threatened ,,Australia,-12.26525431,133.6466651
